Company,Post,Location,Stipend,Experience
Edxso,Business Development Associate,Work from home,250000.0,0 year(s)
APTAGRIM CONSULTING PRIVATE LIMITED,UI/UX Designer,Hyderabad,300000.0,0 year(s)
Solidstack,Backend Operating  Executive,Work from home,400000.0,0 year(s)
Solidstack,Computer  Executive,Work from home,400000.0,0 year(s)
Solidstack,Backend Maintenance Executive,Work from home,400000.0,0 year(s)
Solidstack,Big Data Manager,Work from home,400000.0,0 year(s)
Kraftshala,Business Development Associate,Delhi,500000.0,0 year(s)
Bhuvnesh Kumar,Data Entry Executive,Delhi,200000.0,0 year(s)
Bombay Motor House,Sales And Marketing Executive,Bengaluru,300000.0,1 year(s)
Delkon Technologies,Graphic Designer,Work from home,220000.0,1 year(s)
JR HR SOLUTION,Field Sales Representative,Bengaluru,300000.0,1 year(s)
SEASONS BANQUETS,Corporate Sales Executive,"Pimpri-Chinchwad, Akurdi, Dehu Road, Chikhali",250000.0,1 year(s)
Layam,Telecaller Cum Recruiter,Sriperumbudur,200000.0,0 year(s)
Odd Planet,Content Creator,Delhi,201000.0,0 year(s)
APNC,Sales Representative,Bengaluru,440000.0,1 year(s)
PDM EXTRUSIONS PVT. LTD,Business Development Executive,Delhi,250000.0,1 year(s)
Growfinity Consulting,Accountant,Pune,200000.0,1 year(s)
Zappfresh,Human Resources (HR) Executive,Gurgaon,240000.0,1 year(s)
Shrofile Technologies,Associate Recruiter,Gurgaon,300000.0,1 year(s)
Himani Sharma,Corporate Sales Executive,Shimla,210000.0,0 year(s)
Kitaboo,Learning And Development Associate,Mumbai,240000.0,1 year(s)
Anil Parekh & Co,International Marketing Executive,Work from home,210000.0,1 year(s)
Karan Security Systems,CCTV Technician,Mumbai,200000.0,1 year(s)
Asknumeroai,Video Editor,Work from home,300000.0,1 year(s)
Systemic Altruism,Full Stack Developer,Work from home,300000.0,0 year(s)
Jain Software,Associate UI/UX Designer,Raipur,200000.0,1 year(s)
Persist Ventures,Full Stack Developer,Work from home,300000.0,0 year(s)
Systemic Altruism,AI Engineer,Work from home,300000.0,0 year(s)
Systemic Altruism,AI Engineer,Work from home,300000.0,0 year(s)
Amit Placement Services,Data Entry Executive,Work from home,241000.0,0 year(s)
Ankit Travel Services,Accountant,"Delhi, Gurgaon, Noida",200000.0,0 year(s)
QuadB Tech,Business Development Executive,Ludhiana,200000.0,0 year(s)
UrbanPro,Content Writer,Bengaluru,250000.0,1 year(s)
Media Vantage,Junior Social Media Marketing Executive,Mumbai,300000.0,1 year(s)
Youngstone Projects India LLP,Associate Accountant,"Navi Mumbai, Mumbai",200000.0,1 year(s)
Bric-x Infra Pvt. Ltd.,Telecaller,Gurgaon,200000.0,0 year(s)
Mud Ash Foodworks Pvt. Ltd,Business Development Executive,Bangalore,240000.0,0 year(s)
Skillinabox,Cinematographer,Noida,350000.0,0 year(s)
Scienxt Forum For Conferences & Events (SFCE),Administration Executive,"Ghaziabad, Greater Noida, Noida",200000.0,1 year(s)
AGM Infraprojects,Real Estate Consultant,"Delhi, Gurgaon",200000.0,0 year(s)
RR Financial Consultants Private Limited,Telecaller,Delhi,206000.0,0 year(s)
Manilal Patel Freight Services Pvt Ltd,Accountant,Mumbai,250000.0,1 year(s)
Supernova AI,Performance Marketing Lead,Bangalore,1000000.0,1 year(s)
Mars Consultancy Firm,Talent Acquisition Associate,"Navi Mumbai, Mumbai",200000.0,0 year(s)
BoxUp Luxury Gifting,Social Media Manager,Bengaluru,600000.0,1 year(s)
Digital Heroes,Video Editor,Work from home,200000.0,0 year(s)
Tutons Event Management Company,Accountant,Pune,210000.0,0 year(s)
Clappia,Business Associate (No-Code App Development & Customer Success),Bengaluru,400000.0,0 year(s)
Growify Digital,E-Commerce Marketing,Delhi,200000.0,0 year(s)
WeDo Marketing,Junior Copywriter,Work from home,245000.0,0 year(s)
ServerGuy,Certified Public Accountant (CPA),Work from home,360000.0,1 year(s)
Growify Digital,Human Resources (HR) Associate,Delhi,200000.0,1 year(s)
Growify Digital,Shopify Operations,Delhi,200000.0,0 year(s)
Growify Digital,Video Editing/making,Delhi,200000.0,0 year(s)
Growify Digital,Junior Recruitment Executive,Delhi,200000.0,1 year(s)
WeDo Marketing,Junior Video Editor,Work from home,245000.0,1 year(s)
Growify Digital,Data Analytics Executive,Delhi,200000.0,0 year(s)
Growify Digital,Content Writing,Delhi,200000.0,0 year(s)
Growify Digital,Management Trainee,Delhi,200000.0,0 year(s)
Political Research And Consulting,MIS Executive,Gurgaon,300000.0,0 year(s)
UAbility,Business Development Associate,Work from home,420000.0,1 year(s)
CNS Juris,Associate Lawyer,Pune,300000.0,1 year(s)
Property Megamart Realty Private Limited,Business Development Executive,"Thane, Navi Mumbai",360000.0,1 year(s)
L & T Financial Services,Field Sales Executive,"Dharmavaram, Tadipatri, Palasa, Tekkali",214000.0,0 year(s)
Growify Digital,AI Researcher & Implementer,Delhi,200000.0,0 year(s)
Webisdom,Junior Lead Generation Associate,Work from home,200000.0,1 year(s)
White Maison De Couture,Retail Stylist,Mumbai,200000.0,1 year(s)
Avanzar Health,Junior Social Media Marketing Specialist,Work from home,240000.0,1 year(s)
Hudl,SPORTS ANALYST,Mumbai,200000.0,0 year(s)
SaffireTech,Technical Content Writer,"Palghar, Thane, Mumbai",300000.0,0 year(s)
Devloom Labs,Junior Telecaller,Work from home,300000.0,1 year(s)
SLS Engineers,Senior Sales Executive,Hyderabad,300000.0,0 year(s)
BatteryPool,Field Operation Manager,Pune,360000.0,1 year(s)
Quick Digital Technologies Private Limited,Junior Operations Executive,"Chennai, Kolkata, Pune, Bengaluru, Thane",200000.0,0 year(s)
Canberg Global Sourcing Private Limited,Field Sales Executive,Kolkata,504000.0,0 year(s)
MedPrime Technologies Private Limited,Corporate Sales Associate,Thane,200000.0,1 year(s)
Xtrim Global Solutions Private Limited,Business Development Executive,Indore,200000.0,0 year(s)
Nidhi Saxena,Corporate Sales Executive,Indore,200000.0,1 year(s)
West Coast Pharmaceutical,Digital Marketing Specialist,Ahmedabad,360000.0,0 year(s)
Praan Foundation,Field Sales Executive,Work from home,231000.0,0 year(s)
Arkisol,Corporate Sales Associate,Work from home,240000.0,1 year(s)
PropNxT,Business Development Executive,Mumbai,300002.0,0 year(s)
Amit Placement Services,Data Entry Manager,"Chennai, Bengaluru",241000.0,0 year(s)
Mindgeeks Tech LLP,Flutter Developer,Delhi,200000.0,0 year(s)
Gaadicab,Customer Acquisition Associate,Pune,200000.0,1 year(s)
The Hashmi Group,Chartered Accountant (CA),Delhi,340000.0,1 year(s)
Chess Gaja,Customer Service Associate,Madurai,204000.0,0 year(s)
Mitesh Jain,Junior Social Media Marketing Executive,Mumbai,200000.0,0 year(s)
Yahweh Software Solutions,Senior Front End Developer,Bangalore,500000.0,1 year(s)
Fractal Picture Private Limited,Marketing And Sales Executive,Mumbai,300000.0,1 year(s)
WriterOnRent,Junior Content Writer,Work from home,200000.0,0 year(s)
StayinFront India Pvt Ltd,Trainee Software Test Engineer,"Ahmedabad, Gandhinagar, Gujarat",200000.0,0 year(s)
Hello Reception,Founders Assistant,Work from home,200000.0,1 year(s)
H S G H & Co,Concurrent Auditor,Navi Mumbai,200000.0,1 year(s)
Ornate Quality Services,Corporate Sales Executive,Noida,203000.0,0 year(s)
MyzMoneyMantra,Telecaller,Hyderabad,240000.0,0 year(s)
Stellar Homes,Senior Marketing Manager,Bengaluru,215000.0,1 year(s)
Sraa3 Technologies Private Limited,Architect,Panchkula,250000.0,1 year(s)
Futred.com,Graphic Designer,Delhi,240000.0,1 year(s)
V4 Cargo,Sales Executive,Faridabad,200001.0,0 year(s)
Visuotech IT Services,Junior PHP Developer,Indore,200000.0,0 year(s)
WEB X DEVELOPERS,Junior Web Developer,Agra,200000.0,1 year(s)
Dazeinfo Media & Research Private Limited,Social Media Marketing Executive,Work from home,240000.0,0 year(s)
LawSikho,Academic Counsellor,Work from home,360000.0,1 year(s)
Contour Education,Business Development Executive,Work from home,400000.0,0 year(s)
Progeniko Pharma,Business Development Associate,Work from home,240000.0,0 year(s)
NextEdge Labs,Associate Angular Developer,Work from home,200000.0,1 year(s)
Gigde Global Solutions Private Limited,Customer Support,"Delhi, Ghaziabad, Noida",350000.0,0 year(s)
Hasieco Ventures Private Limited,Project Assistant,Ahmedabad,216000.0,1 year(s)
Inspiredge IT Solutions Private Limited,Business Development Executive,Hyderabad,200000.0,0 year(s)
Analystt.ai,Content Writer,Work from home,300000.0,1 year(s)
Devloom Labs,Telecaller,Work from home,202000.0,1 year(s)
SpireEdu,Language Experts: Gujarati,Work from home,200000.0,0 year(s)
PAL Translation,Business Development Executive,"Ahmedabad, Hyderabad",280000.0,1 year(s)
Viral Vichaar,Social Media Manager,Work from home,360000.0,1 year(s)
Justtravel360,Sales Executive,Mumbai,240000.0,0 year(s)
ACE HR CONSULTANTS,Recruitment Specialist,Gurgaon,240000.0,0 year(s)
SpireEdu Services,Language Experts: Gujarati,Work from home,200000.0,0 year(s)
Badiyani Constructions,Junior Civil Engineer,Pune,228000.0,0 year(s)
Kruti Gogri,Compliance Executive,Mumbai,200000.0,1 year(s)
Ohhpro Technologies Private Limited,UX/UI Cum Graphic Designer,"Bhadrak, Bhubaneswar, Kendujhar, Balasore, Bhuban, Odisha, Baripada, Bhubaneswar Pur, Raurkela Industrial Township",200500.0,0 year(s)
Amstag Tech,Corporate Sales Executive,Bengaluru,300000.0,1 year(s)
Creative Hands Hr Consultancy,Customer Service Executive,Chennai,260000.0,0 year(s)
Stylinc Ventures Private Limited,Social Media Marketing Associate,Mumbai,200000.0,1 year(s)
Digital Patang,Ecommerce Executive,"Delhi, Ghaziabad, Noida",240000.0,0 year(s)
Shalini Malhotra & Co.,Associate Legal Researcher,Gurgaon,200000.0,0 year(s)
C3 CAR CARE CENTER,Sales Manager,Kolkata,200000.0,1 year(s)
KHS INNOVATION & ENGINEERING LLP,Sales Coordinator,Navi Mumbai,200000.0,1 year(s)
Suvya Web,Human Resources (HR) Executive,Surat,270000.0,0 year(s)
Aayom Corporate Solutions Private Limited,Field Sales Manager,Work from home,420000.0,1 year(s)
Amit Pandey,Senior Video Editor,Work from home,240000.0,1 year(s)
Fundstory Global Partners,Operations Manager,Work from home,200000.0,1 year(s)
Stockify,Sales Customer Manager - Wealth Management,Bengaluru,520000.0,1 year(s)
Quantasis,Human Resources (HR) Specialist,Mumbai,200000.0,0 year(s)
Jairaj Builders,Administration Associate,Kochi,480000.0,1 year(s)
TanServ Business Process,Field Collection Officer,Ahmedabad,200000.0,1 year(s)
Little Millennium Education Private Limited,Junior Teacher,Jaipur,205000.0,1 year(s)
IG Tehso Private Limited,Human Resources (HR) Executive,Indore,200000.0,1 year(s)
Sumridhi,Corporate Sales Manager,Noida,350000.0,0 year(s)
Solidstack,Data Entry Operator,Work from home,400000.0,1 year(s)
Khiladipro,Field Sales Executive,Bengaluru,320000.0,0 year(s)
Zedex Info Private Limited,Human Resources (HR) Associate,Mumbai,200000.0,0 year(s)
Rayds Services Private Limited,Digital Marketing Executive,Mumbai,250000.0,1 year(s)
Codeacious Technologies Private Limited,Senior Full Stack Developer,Work from home,1200000.0,1 year(s)
Flavorcraft Innovations Private Limited,Operations Executive,Mumbai,400000.0,1 year(s)
Abbacus Tech India Private Limited,Business Development Executive,Ahmedabad,380000.0,1 year(s)
Credvest India Private Limited,Executive - CRM,Bengaluru,350000.0,0 year(s)
Prodios Labs,Full Stack Developer,Dehradun,500000.0,1 year(s)
M/s. Exim Enterprises,Female Management Trainee,Chandigarh,350000.0,0 year(s)
Masaya,Finance Manager,Mumbai,200000.0,1 year(s)
Green Carpet - The Garden Centre,Customer Service Executive,Bengaluru,200000.0,0 year(s)
Zenith Consultants,Customer Support Executive,"Chandigarh, Mohali, Noida, Gurgaon",380000.0,0 year(s)
Emerge Retail Private Limited,Retail Store Manager,"Manali, Dalhousie, Mussoorie",305000.0,1 year(s)
SRG PRODUCTION,Video Editor,Greater Noida West,200000.0,1 year(s)
DESTINATION DESIGNS,Junior Architect,Bengaluru,216000.0,0 year(s)
SUNTEK.AI,Manual Tester,Work from home,200000.0,0 year(s)
Mobitra Technologies Private Limited,Field Sales Manager,Lucknow,200000.0,1 year(s)
Asire Consulting LLP,Associate Chartered Accountant (CA),Delhi,420000.0,1 year(s)
Deeprassh Studios,Game Developer,Work from home,560000.0,1 year(s)
Appohm Technologies,Associate Software Tester,Work from home,500000.0,1 year(s)
Omega Healthcare,Process Executive - AR (International Voice Process),Chennai,200000.0,0 year(s)
University Living Accommodation Private Limited,Inside Sales Associate,Noida,300000.0,0 year(s)
Anvit Production,Customer Service Specialist,Work from home,216000.0,1 year(s)
Etechstars Private Limited,Associate UI/UX Designer,"Bengaluru, Mumbai, Delhi",302000.0,1 year(s)
Purple Propvest,Human Resources (HR) Executive,Kolkata,200000.0,1 year(s)
JR Compliance And Testing Labs,Business Development Executive,Delhi,200000.0,1 year(s)
Kaleidoscope Consulting,Business Development Executive,Work from home,220000.0,1 year(s)
SNB Consultancy,Senior Telecaller,Ahmedabad,201500.0,1 year(s)
GIBMS Business School,Customer Service Associate,Mumbai,200000.0,0 year(s)
Mukund & Rohit Chartered Accountants,Audit Executive,Ahmedabad,320000.0,0 year(s)
Peroptyx,Data Analyst,Work from home,4680.0,0 year(s)
Aneesh Mittal,Legal/Lawyer,Delhi,325000.0,1 year(s)
Wise Reputation Maker,Business Development Associate,Mohali,200000.0,0 year(s)
Codezeros Technology Private Limited,SEO Fresher,Ahmedabad,200001.0,0 year(s)
ELH Media,Deputy Associate - Events,Work from home,400000.0,0 year(s)
Comtech IT Solution Private Limited,Recruiter,Gurgaon,200000.0,1 year(s)
Nuway Interiors,Civil Engineer,Hyderabad,200000.0,1 year(s)
Direct7 Networks,Graphic Designer,Cochin,200000.0,0 year(s)
Arpee Electrical,Marketing Executive,Bengaluru,220000.0,1 year(s)
The Wildcamp Coorg,Corporate Sales Executive,Kodagu,300000.0,1 year(s)
P And R Perfect Resources,Senior Teacher,"Lucknow, Ahmamau",300000.0,1 year(s)
HoSaksham,Business Development Executive,Work from home,220000.0,0 year(s)
Todtechnologies,Corporate Sales Associate,Work from home,200000.0,1 year(s)
Salut French,Business Development Manager,Mumbai,240000.0,1 year(s)
Media CPC Network Limited,Account Manager - Online Advertising Network,Work from home,2040.0,0 year(s)
SMEST Capital Private Limited,Business Development Executive,Mumbai,300000.0,1 year(s)
Dona India,Corporate Sales Executive,Hyderabad,300003.0,1 year(s)
Studio Moora,Customer Service Manager,Jaipur,260000.0,0 year(s)
MINDMOON PRIVATE LIMITED,Retail Sales Executive,Mangalore,200000.0,1 year(s)
Sharpener Tech,Front End Developer,Work from home,400000.0,0 year(s)
Systemic Altruism,FullStack Mobile Developer,Work from home,600000.0,0 year(s)
Persist Ventures,FullStack Mobile Developer,Work from home,600000.0,0 year(s)
"Swissmote, Inc.",AI Fullstack Engineer,Work from home,600000.0,0 year(s)
Persist Ventures,Full Stack Mobile Developer,Work from home,600000.0,0 year(s)
Systemic Altruism,AI Fullstack Engineer,Work from home,600000.0,0 year(s)
Persist Ventures,AI Fullstack Engineer,Work from home,600000.0,0 year(s)
Edxso,Full Stack Developer,Delhi,200000.0,1 year(s)
Corizo EduTech,Business Development Executive,Bengaluru,360000.0,0 year(s)
Upswing Cognitive Hospitality Solutions,Data Scientist,Pune,600000.0,1 year(s)
Glomera Private Limited,Sales Representative,Work from home,200000.0,1 year(s)
Solidstack,Customer Care Executive,Work from home,400000.0,0 year(s)
Pashupati Enterprises (Grand Tambu),Graphic Designer,Delhi,200000.0,0 year(s)
Rose Bazaar,Human Resources (HR) Associate,Bengaluru,360000.0,1 year(s)
Bharati Agro,Plumbing Technician,Pune,200000.0,0 year(s)
Global Syndicate Finance,Corporate Sales Associate,Hyderabad,550000.0,0 year(s)
SVaaN Global Tech,React Native Developer Internship,Chennai,200000.0,0 year(s)
EV Urjaa Private Limited,Electromechanical Technician,Indore,204000.0,1 year(s)
Intext Creative Solutions Pvt Ltd,Administration Executive,Kolkata,200000.0,0 year(s)
The Smart Web India,Corporate Sales Executive,Work from home,218500.0,1 year(s)
No Broker,Junior Corporate Sales Executive,Bengaluru,390000.0,0 year(s)
Jobee-Fie,Customer Acquisition Executive,"Gurgaon, Jaipur",200000.0,1 year(s)
INDIA SWEET HOUSE,Field Sales Manager,Bengaluru,400000.0,1 year(s)
Sharpener,Associate Software Developer,Work from home,400000.0,0 year(s)
Automech Engineering India Private Limited,Junior Graphic Designer,Pune,344000.0,1 year(s)
Arcos Skill Management Services Private Limited,Junior Operations Executive,Gurgaon,300000.0,0 year(s)
Emerge It Solution,Recruiter,Bengaluru,205000.0,1 year(s)
Institute Of Real Estate And Finance,Corporate Sales Executive,Pune,202000.0,0 year(s)
Emerge It Solution,Human Resources (HR) Specialist,Bengaluru,204000.0,0 year(s)
Ecom Edge,Pre-Qualifier - Sales Team,Work from home,285000.0,0 year(s)
THOB - The House Of Brands,Customer Acquisition Executive,Mumbai,202000.0,1 year(s)
HIRENIKS,SolidWorks Design Engineer,Ahmedabad,200000.0,1 year(s)
Safebooks Global,Telecaller,Ahmedabad,200000.0,1 year(s)
BiharHelp,Content Writer,Patna,220000.0,1 year(s)
Devloom Labs,UI/UX Designer,Work from home,300000.0,0 year(s)
Hexisoft Solutions,Front End Developer,Work from home,400000.0,0 year(s)
Lama Expeditions,Telecaller,Mohali,256000.0,1 year(s)
SSO PRODUCTIONS LLP,Associate Video Editor,Mumbai,250000.0,1 year(s)
Bearing Traders (I) Private Limited,Sales Enginer,"Ahmedabad, Delhi, Mumbai, Raipur",200000.0,0 year(s)
Xntrova,Junior Social Media Marketing Specialist,Delhi,400000.0,1 year(s)
Wealthmine Networks Private Limited,Company Secretary (CS),Ahmedabad,400000.0,1 year(s)
Solidstack,Sales Executive,Work from home,400000.0,0 year(s)
Prernam Concepts And Innovations LLP,Business Development Associate,Delhi,200000.0,1 year(s)
Transorze Information Processing Solutions Private Limited,Telecaller,Thiruvananthapuram,200000.0,1 year(s)
Redraz International,Graphic Designer,Lucknow,210000.0,1 year(s)
Yojjak,Field Sales Executive,"Dehradun, Delhi, Ghaziabad, Gurgaon, Thane, Navi Mumbai, Mumbai, Noida",340000.0,0 year(s)
RnD Technosoft,Junior Search Engine Optimization (SEO) Specialist,Vapi,200000.0,1 year(s)
Zelus India Private Limited,Recruiter,Gurgaon,224000.0,1 year(s)
Centre For Women's Development And Research,Accountant,Chennai,240000.0,1 year(s)
OVERSEAS-CAREERS,Visa Consultant Sales (Immigration Sales),Hyderabad,300000.0,1 year(s)
The Arc,Reporter - Startups & Technology,Work from home,400000.0,1 year(s)
GrowMyCompany,Business Development Specialist,Jaipur,500000.0,1 year(s)
Smartways,Social Media Manager,Noida,300000.0,1 year(s)
Trend Wave Agency,Business Development Executive,Work from home,200000.0,1 year(s)
Adviacent Consulting Services Private Limited,Inside Sales Executive,Delhi,240000.0,1 year(s)
TCM Services Private Limited,Talent Acquisition Executive,"Thane, Navi Mumbai, Mumbai",200000.0,1 year(s)
California Burrito,Finance Executive,Bengaluru,300000.0,1 year(s)
Apna Contractor,Senior Interior Designer,Mumbai,360000.0,1 year(s)
Zucol Group Of Companies,Human Resources (HR) Executive,Gurgaon,250000.0,1 year(s)
Radheshyam Gautam,Subject Matter Expert - Organic Chemistry,Work from home,200000.0,0 year(s)
V J M & Associates,Senior WordPress Developer,Noida,300000.0,1 year(s)
Future Bound Tech,Corporate Sales Manager,Work from home,500000.0,0 year(s)
DELTON CABLES LIMITED,Quality Trainee,Faridabad,204000.0,0 year(s)
Wehire Talent Solutions,Urdu And English Language Interpreter,Work from home,420000.0,0 year(s)
Wehire Talent Solutions,French Language Interpreter B2,Work from home,1000000.0,0 year(s)
Teach Maven,Marketing Executive,"Bellary, Gulbarga, Mangalore, Mysuru, Hubli, Davangere, Bijapur, Belgaum, Bangalore, Mysorepatta",400000.0,1 year(s)
LLEWS - Solar Powered Solutions,Corporate Sales Manager (Female),Aurangabad,363000.0,1 year(s)
INDIA SWEET HOUSE,Corporate Sales Executive,Bengaluru,320000.0,1 year(s)
Teach Maven,Business Development Executive,"Bellary, Gulbarga, Mangalore, Mysuru, Shimoga, Hubli, Bengaluru, Davangere, Bijapur, Belgaum",700000.0,1 year(s)
EARTHIFY ARCHITECTS,Junior Architect,Sambalpur,200000.0,0 year(s)
Teach Maven,Inside Sales Associate,"Bellary, Gulbarga, Mangalore, Mysuru, Shimoga, Hubli, Bengaluru, Davangere, Bijapur, Belgaum",700000.0,0 year(s)
PTE UNIVERSE,Teacher,Work from home,220000.0,0 year(s)
Vertex Edge Media,Lead Generation Executive,Work from home,320000.0,0 year(s)
Sri Gosala Agro Products,Production And Quality Control Manager,"Bengaluru, Tumkur",450000.0,0 year(s)
Stell Aspire,Talent Acquisition Specialist,Work from home,400000.0,1 year(s)
Spaceride Aerotech Private Limited,Astronomical Telescope Operator,Ahmedabad,200000.0,0 year(s)
ReportsInsights Consulting Pvt Ltd,Human Resources (HR) Executive,Pune,250000.0,0 year(s)
Lotlite Realtors,Administration Executive,"Pimpri-Chinchwad, Pune, Mahalunge, Wakad",250000.0,1 year(s)
KINETO INDIA PVT LTD,Customer Acquisition Manager,Kolkata,200000.0,1 year(s)
Einweit Technologies,Corporate Sales Specialist,Bengaluru,200000.0,1 year(s)
Corporate Gurukul Private Limited,Counselor,"Delhi, Gurgaon, Noida",200000.0,0 year(s)
52 Sundaze,Accountant,Gurgaon,300000.0,0 year(s)
TestprepKart,Digital Marketing Specialist,"Ghaziabad, Greater Noida, Noida",300000.0,0 year(s)
Picktime,Content Writer,Hyderabad,200000.0,0 year(s)
Hunarstreet Industries Pvt Ltd,Fashion Consultant,Bengaluru,200000.0,1 year(s)
Leafoberryy,Field Sales Executive,Mumbai,400000.0,1 year(s)
Fenestec Technologies Private Limited,Desktop Application Developer,Delhi,240000.0,0 year(s)
VIGYANTRAM TECHNOLOGY,STEM Trainer,"Delhi, Gurgaon",300000.0,0 year(s)
B-Acads Sercives Pvt Ltd,Junior Corporate Sales Manager,"Navi Mumbai, Mumbai",275000.0,1 year(s)
Safeworld Systems Private Limited,Corporate Sales Associate,Work from home,200000.0,1 year(s)
Patentskart,Business Development Associate,Chandigarh,700000.0,1 year(s)
INDIA SWEET HOUSE,Counter Staff,Bengaluru,200000.0,0 year(s)
Sensegrass,Business Development Executive,Work from home,860000.0,1 year(s)
Mediarun Digital,Content Writer,Delhi,210000.0,1 year(s)
Clinic Eximus,Junior Search Engine Optimization (SEO) Specialist,Delhi,225000.0,1 year(s)
Sankhla Industries,Associate Accountant,Bengaluru,240000.0,1 year(s)
Patentskart,Business Development Associate,Chandigarh,700000.0,1 year(s)
Rannka Digital,Junior Social Media Marketing Executive,Mumbai,200000.0,1 year(s)
Theoriat Services,Human Resources (HR) Executive,Mumbai,200000.0,1 year(s)
EaseBiz Fintech Solutions LLP,Human Resources (HR) Executive,Ahmedabad,212000.0,1 year(s)
Prayatna Learning Center,Senior Teacher,Bangalore,200000.0,1 year(s)
Conversions Canvas,Digital Marketer,Work from home,200000.0,1 year(s)
PLATINOX CONSULTANT PRIVATE LIMITED,Corporate Sales Executive,Noida,300000.0,1 year(s)
MyPharmaVision,Front Desk Executive,Ahmedabad,200000.0,0 year(s)
Mind Matters Business Advisors,Inside Sales Executive,Work from home,200000.0,1 year(s)
REMAX Heritage Properties,Business Associate,Mysuru,210000.0,1 year(s)
MyntMore,Head - Personal Branding And Growth,Mumbai,420000.0,1 year(s)
Xpress Services,Officer - Marketing,Gurgaon,240000.0,0 year(s)
Khushal Sharma,Video Editor,Indore,200000.0,1 year(s)
Dios Logistics Private Limited,Corporate Sales Executive,Delhi,216000.0,1 year(s)
Namastay,Quality Control Executive,Bhiwandi,200000.0,0 year(s)
Trip To Explore Private Limited,Junior Video Editor,Delhi,344000.0,1 year(s)
Travlite Services Private Limited,Junior Travel & Tourism Specialist,Gurgaon,200000.0,1 year(s)
WebArt Technology Private Limited,Tele Sales Executive (Australia Shift),Kolkata,200000.0,1 year(s)
Hamper Land,Social Media Executive,Thane,240000.0,1 year(s)
ZEAL INFRAEDGE TECH,Graphic Designer,Delhi,200000.0,1 year(s)
M-Core Industries Private Limited,Field Sales Executive,"Ahmedabad, Sonipat, Surat, Bengaluru",200000.0,1 year(s)
Siva Visa,Education Counselor,Hyderabad,220000.0,1 year(s)
Zeeve Deep Tech Private Limited,Human Resources (HR) Executive,Work from home,200000.0,1 year(s)
IMEX DESTINATIONS,Junior Operations Executive,Noida,200000.0,1 year(s)
Archer Interiors,Interior Designer,Mumbai,300000.0,1 year(s)
TryCatch Classes,Junior Full Stack Developer,"Mumbai, Mira Bhayandar, Vasai-Virar",200000.0,0 year(s)
Amorph Design Studio LLP,Junior Architect,Delhi,200000.0,1 year(s)
Fahad  Siddiqui,Business Development Associate,Work from home,300000.0,1 year(s)
Axe Consultancy And Security Services LLC,Sales Executive – USA Calling (Commission-Based),Work from home,200000.0,1 year(s)
Saira People Tech Solutions Private Limited,Junior Teacher,"Pune, Mumbai, Bangalore",250000.0,0 year(s)
Bluebird Holidays,Junior Travel & Tourism Associate,Mumbai,250000.0,1 year(s)
W3SPEEDUP,Junior Search Engine Optimization (SEO) Executive,Jaipur,200000.0,0 year(s)
KRZ Technologies,Front End Developer,Vellore,200000.0,1 year(s)
A A Garg & Company,Junior Operations Executive,Mumbai,250000.0,1 year(s)
TestAIng Solutions,Administration Associate,Bengaluru,200000.0,0 year(s)
Diwan Auto Care LLP,Junior Field Sales Executive,"Thane, Bhiwandi",262000.0,1 year(s)
Cog Digital Private Limited,Graphic Designer,Gurgaon,275000.0,1 year(s)
STEP MANPOWER PRIVATE LIMITED,Associate Accountant,Mumbai,200000.0,0 year(s)
Organizein,Digital Marketing Executive,Bangalore,200000.0,0 year(s)
Rydeu Logistics UG,Customer Service Executive,Work from home,200000.0,1 year(s)
People Apps Technologies,Junior Search Engine Optimization (SEO) Executive,Noida,300000.0,1 year(s)
Texple,Junior Business Development Associate,Mumbai,200000.0,1 year(s)
MTT Group Of Companies,Electrical Engineer,"Delhi, Zagnańsk (Poland)",840000.0,1 year(s)
Innvictis Edutech,Telecaller,Noida,210000.0,1 year(s)
Amit Placement Services,Data Entry Executive,"Chennai, Bengaluru",231000.0,0 year(s)
KNP Arises Green Energy Private Limited,Business Development Executive,Gurgaon,300000.0,1 year(s)
SolarSquare Energy Private Limited,Customer Service Associate,Pune,300000.0,0 year(s)
Urban Company,Business Development Associate,Ahmedabad,270000.0,0 year(s)
Shhambhawee Services Pvt. Ltd.,Admin Supervisor,Sehore,200000.0,0 year(s)
Ocean Techventures Pvt. Ltd.,Game Level Designer,Noida,200000.0,0 year(s)
Decisive Analytical Systems Private Limited,Associate Web Developer,Bengaluru,200000.0,1 year(s)
WapVenture.com,Junior Social Media Marketing Manager,"Greater Noida, Gautam Buddha Nagar",230000.0,0 year(s)
RegisterKaro,Human Resources (HR) Associate,"Gurgaon, Jaipur",200000.0,0 year(s)
ZebMan Consulting,Business Development Executive,Delhi,340000.0,0 year(s)
Qrata,HR & Admin Executive,Noida,200000.0,1 year(s)
Noisy Lion,Graphic Designer,Noida,300000.0,0 year(s)
Confluencr,Talent Acquisition - Associate,Bangalore,400000.0,1 year(s)
Recruit CRM,Lead Generation Specialist,Work from home,1000000.0,0 year(s)
Aakar Kreations,Junior Mechanical Engineer,Work from home,200000.0,1 year(s)
University Living Accommodation Private Limited,Inside Sales Associate,Noida,300000.0,0 year(s)
Samarik Digital (Samarik Tech India Private Limited),Associate Video Editor,Work from home,300000.0,1 year(s)
Future Skills,SEO Expert,Work from home,200001.0,1 year(s)
Intesome,Adobe Illustration/2D Concept Artist,Work from home,200000.0,0 year(s)
