Company,Post,Location,Stipend,Experience
ARUNA STUDIO,Photographer,Hyderabad,200000.0,1 year(s)
Medstown Private Limited,Associate Video Editor,Hyderabad,240000.0,1 year(s)
ML Enterprises,Back End Officer Or Telecaller(Female Candidates Only),Karnal,400000.0,1 year(s)
Digitizing Mart,Fashion Merchandiser,Mumbai,265000.0,1 year(s)
Ace Proton Communications & Digital Media Private Limited,Client Service Executive,Mumbai,200000.0,1 year(s)
Brand Aura,Graphic Designer,"Pune, Navi Mumbai, Pimpri-Chinchwad",320000.0,1 year(s)
Gurucool,Video Editor,Jaipur,200000.0,0 year(s)
Akrati Jewels Incorporation,Senior Social Media Marketing Associate,Jaipur,200000.0,1 year(s)
Travel Lykke Private Limited,Travel Advisor (Sales),Jaipur,420000.0,0 year(s)
Jakson Group,Sales Engineer (Diploma),"Dehradun, Kashipur, Rudrapur, Udham Singh Nagar, Haldwani, Nainital",200000.0,0 year(s)
Ace Proton Communications & Digital Media Private Limited,Video Editor,Mumbai,200000.0,1 year(s)
LogIQids,Business Development Manager,Mumbai,230000.0,1 year(s)
RegisterKaro,Asset & Operations Associate,Gurgaon,200000.0,1 year(s)
Ace Proton Communications & Digital Media Private Limited,Influencer Marketing Executive,Mumbai,200000.0,1 year(s)
Secured Engineers Private Limited,Digital Marketing Executive,Ludhiana,200000.0,1 year(s)
People Connexions,Recruiter,Hyderabad,310000.0,1 year(s)
Symmetric IT Services Private Limited,Corporate Sales Executive,Mumbai,240000.0,1 year(s)
United HR Solutions Private Limited,Associate Recruiter,Ahmedabad,200000.0,1 year(s)
Hiring Squad,Ops & Customer Service Associate (Travel),Mumbai,480000.0,1 year(s)
Secured Engineers Private Limited,Sales Coordinator,Ludhiana,200000.0,0 year(s)
Ace Proton Communications & Digital Media Private Limited,Digital Marketing Executive,Mumbai,200000.0,1 year(s)
Secured Engineers Private Limited,Telecaller,Ludhiana,200000.0,1 year(s)
Aashni + Co,Customer Success Associate - Pre Sales,Mumbai,440000.0,1 year(s)
Renovate India,Business Development Executive,Mumbai,300000.0,1 year(s)
Japam Spiritual Private Limited,Procurement Officer,"Ahmedabad, Rajkot, Surat, Vadodara",250000.0,1 year(s)
Digitizing Mart,Fashion Designer,Mumbai,260000.0,1 year(s)
Aashni + Co,Fashion Consultant,Mumbai,380000.0,1 year(s)
Pinkcity Jobs,Senior Content Writer - In Office Jaipur Location,Jaipur,250000.0,1 year(s)
Marar Media,Sales Cordinator (Female),Delhi,216000.0,1 year(s)
Cosmos Staffing Solutions,Customer Acquisition Executive,Noida,350000.0,1 year(s)
